=== start a 12:04 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 6144  14336  2048   84.0  3.500   12.0 |   180.6   165.3 |     -8.5 | True
 6144  14336  3072   84.0  3.500   18.0 |   143.2   169.4 |    +18.3 | True
 6144  14336  4096   84.0  3.500   24.0 |    86.3   168.4 |    +95.1 | True
 6144  14336  6144   84.0  3.500   36.0 |    51.5   171.5 |   +233.1 | True
 6144  14336  8192   84.0  3.500   48.0 |    51.2   173.3 |   +238.5 | True
 6144  20480  2048  120.0  5.000   12.0 |   176.6   166.6 |     -5.7 | True
 6144  20480  3072  120.0  5.000   18.0 |   146.3   168.8 |    +15.4 | True
 6144  20480  4096  120.0  5.000   24.0 |    89.2   169.5 |    +90.0 | True
 6144  20480  6144  120.0  5.000   36.0 |    52.4   172.0 |   +228.1 | True
 6144  20480  8192  120.0  5.000   48.0 |    51.6   172.9 |   +235.1 | True
== ALL DONE ==
=== start b 12:05 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 2560   1280  2048    3.1  0.130    5.0 |   151.2   151.3 |     +0.1 | True
 2560   1280  3072    3.1  0.130    7.5 |   177.2   179.1 |     +1.1 | True
 2560   1280  4096    3.1  0.130   10.0 |   165.2   169.0 |     +2.3 | True
 2560   1280  6144    3.1  0.130   15.0 |   169.8   174.1 |     +2.6 | True
 2560   1280  8192    3.1  0.130   20.0 |   165.2   172.1 |     +4.1 | True
 2560   2560  2048    6.2  0.260    5.0 |   161.2   163.9 |     +1.7 | True
 2560   2560  3072    6.2  0.260    7.5 |   166.5   174.0 |     +4.5 | True
 2560   2560  4096    6.2  0.260   10.0 |   168.8   169.1 |     +0.2 | True
 2560   2560  6144    6.2  0.260   15.0 |   177.6   173.3 |     -2.4 | True
 2560   2560  8192    6.2  0.260   20.0 |   175.1   162.6 |     -7.1 | True
 2560   3840  2048    9.4  0.391    5.0 |   160.0   171.8 |     +7.4 | True
 2560   3840  3072    9.4  0.391    7.5 |   158.7   160.4 |     +1.1 | True
 2560   3840  4096    9.4  0.391   10.0 |   177.4   159.5 |    -10.1 | True
 2560   3840  6144    9.4  0.391   15.0 |   160.8   160.8 |     -0.0 | True
 2560   3840  8192    9.4  0.391   20.0 |   167.7   160.0 |     -4.6 | True
 2560   5120  2048   12.5  0.521    5.0 |   151.8   163.2 |     +7.5 | True
 2560   5120  3072   12.5  0.521    7.5 |   157.5   143.8 |     -8.7 | True
 2560   5120  4096   12.5  0.521   10.0 |   161.2   148.8 |     -7.7 | True
 2560   5120  6144   12.5  0.521   15.0 |   168.5   152.8 |     -9.3 | True
 2560   5120  8192   12.5  0.521   20.0 |   163.6   153.0 |     -6.5 | True
 2560   7168  2048   17.5  0.729    5.0 |   154.8   156.6 |     +1.2 | True
 2560   7168  3072   17.5  0.729    7.5 |   151.7   153.7 |     +1.3 | True
 2560   7168  4096   17.5  0.729   10.0 |   155.8   141.1 |     -9.4 | True
 2560   7168  6144   17.5  0.729   15.0 |   128.5   151.9 |    +18.2 | True
 2560   7168  8192   17.5  0.729   20.0 |   128.9   152.2 |    +18.1 | True
 2560  10240  2048   25.0  1.042    5.0 |   150.8   157.0 |     +4.1 | True
 2560  10240  3072   25.0  1.042    7.5 |   150.8   149.9 |     -0.6 | True
 2560  10240  4096   25.0  1.042   10.0 |   154.1   151.1 |     -1.9 | True
 2560  10240  6144   25.0  1.042   15.0 |   138.4   152.0 |     +9.9 | True
 2560  10240  8192   25.0  1.042   20.0 |    93.9   152.1 |    +62.0 | True
 2560  14336  2048   35.0  1.458    5.0 |   160.2   154.8 |     -3.4 | True
 2560  14336  3072   35.0  1.458    7.5 |   152.4   154.1 |     +1.1 | True
 2560  14336  4096   35.0  1.458   10.0 |   157.7   153.4 |     -2.7 | True
