=== start a 11:57 ===
    K      N   w/L2     M  A MiB |  sw1 TF  sw8 TF | best   gain8% | ident
 2560   9472  0.964  2048    5.0 |   161.1   156.8 |    1     -2.7 | True
 2560   9472  0.964  4096   10.0 |   154.5   147.0 |    1     -4.8 | True
 2560   9472  0.964  6144   15.0 |   133.4   149.3 |    8    +11.9 | True
 2560   9728  0.990  2048    5.0 |   160.1   158.1 |    1     -1.2 | True
 2560   9728  0.990  4096   10.0 |   162.1   149.3 |    1     -7.9 | True
 2560   9728  0.990  6144   15.0 |   129.5   148.9 |    8    +14.9 | True
 2560   9984  1.016  2048    5.0 |   160.1   160.9 |    8     +0.4 | True
 2560   9984  1.016  4096   10.0 |   162.7   154.2 |    1     -5.2 | True
 2560   9984  1.016  6144   15.0 |   128.3   147.1 |    8    +14.6 | True
 2560  10240  1.042  2048    5.0 |   157.7   156.9 |    1     -0.5 | True
 2560  10240  1.042  4096   10.0 |   152.8   153.9 |    8     +0.8 | True
 2560  10240  1.042  6144   15.0 |   149.1   151.6 |    8     +1.7 | True
 2560  10752  1.094  2048    5.0 |   162.4   157.8 |    1     -2.8 | True
 2560  10752  1.094  4096   10.0 |   160.3   153.5 |    1     -4.3 | True
 2560  10752  1.094  6144   15.0 |   129.6   144.6 |    8    +11.6 | True
 2560  12800  1.302  2048    5.0 |   153.6   156.2 |    8     +1.7 | True
 2560  12800  1.302  4096   10.0 |   162.2   147.1 |    1     -9.3 | True
 2560  12800  1.302  6144   15.0 |   144.4   149.3 |    8     +3.4 | True
 2560  16768  1.706  2048    5.0 |   154.9   151.0 |    1     -2.5 | True
 2560  16768  1.706  4096   10.0 |   161.6   153.6 |    1     -5.0 | True
 2560  16768  1.706  6144   15.0 |   127.8   150.5 |    8    +17.8 | True
 4096   4352  0.708  2048    8.0 |   171.1   167.8 |    1     -1.9 | True
 4096   4352  0.708  4096   16.0 |   165.2   154.2 |    1     -6.6 | True
 4096   4352  0.708  6144   24.0 |   163.0   169.2 |    8     +3.8 | True
 4096   5248  0.854  2048    8.0 |   176.0   165.4 |    1     -6.0 | True
 4096   5248  0.854  4096   16.0 |   161.5   159.9 |    1     -1.0 | True
 4096   5248  0.854  6144   24.0 |   149.6   171.3 |    8    +14.5 | True
 4096   5632  0.917  2048    8.0 |   174.7   165.0 |    1     -5.6 | True
 4096   5632  0.917  4096   16.0 |   146.8   156.9 |    8     +6.9 | True
 4096   5632  0.917  6144   24.0 |    83.6   171.2 |    8   +104.9 | True
 4096   5888  0.958  2048    8.0 |   163.0   167.2 |    8     +2.6 | True
 4096   5888  0.958  4096   16.0 |   160.9   159.8 |    1     -0.7 | True
 4096   5888  0.958  6144   24.0 |    76.4   172.5 |    8   +125.7 | True
 4096   6144  1.000  2048    8.0 |   181.5   166.4 |    1     -8.3 | True
 4096   6144  1.000  4096   16.0 |   153.2   163.3 |    8     +6.6 | True
 4096   6144  1.000  6144   24.0 |    67.6   170.0 |    8   +151.6 | True
 4096   6400  1.042  2048    8.0 |   173.8   162.6 |    1     -6.4 | True
 4096   6400  1.042  4096   16.0 |   152.8   159.9 |    8     +4.6 | True
 4096   6400  1.042  6144   24.0 |    67.4   155.8 |    8   +131.1 | True
 4096   6784  1.104  2048    8.0 |   177.4   165.4 |    1     -6.7 | True
 4096   6784  1.104  4096   16.0 |   161.1   152.1 |    1     -5.6 | True
 4096   6784  1.104  6144   24.0 |    62.0   143.3 |    8   +131.3 | True
 4096   7936  1.292  2048    8.0 |   171.1   166.0 |    1     -3.0 | True
 4096   7936  1.292  4096   16.0 |   150.9   158.2 |    8     +4.9 | True
 4096   7936  1.292  6144   24.0 |    63.8   141.8 |    8   +122.2 | True
 4096  10496  1.708  2048    8.0 |   170.0   167.7 |    1     -1.4 | True
 4096  10496  1.708  4096   16.0 |   156.7   161.4 |    8     +3.0 | True
 4096  10496  1.708  6144   24.0 |    66.2   158.0 |    8   +138.6 | True
